customer_id,customer_age,cluster
1b8f824d5e,0.0461538461538461,0
5d272b9dcb,0.0307692307692307,0
f6d1b2ba63,0.3538461538461538,1
180c632ed8,0.1692307692307692,2
4eb37a6705,0.0769230769230769,0
6aef2b6726,0.3846153846153846,1
8475ee66ef,0.1384615384615384,0
f2f53bcc67,0.1846153846153846,2
5b650c89cc,0.0769230769230769,0
84775a7237,0.0769230769230769,0
dd4bcde51a,0.0769230769230769,0
4eff9f04bf,0.0461538461538461,0
8733352e37,0.2769230769230769,3
dce8e4700a,0.1692307692307692,2
f3070b7bbf,0.0923076923076923,0
f49ed5489a,0.5538461538461539,4
7c027ecfd3,0.3076923076923077,3
7d9a62afd6,0.1846153846153846,2
d5ef759319,0.1076923076923077,0
dd27b47fb5,0.2461538461538461,3
e79f867434,0.0,0
eb13ad08ad,0.4923076923076924,1
fd1202393e,0.1384615384615384,0
1f1fe12bed,0.1692307692307692,2
29786040d4,0.1076923076923077,0
47e04c1274,0.1384615384615384,0
68e63f5236,0.2461538461538461,3
8e8652bdc8,0.1692307692307692,2
b92ab1eeec,0.4923076923076924,1
ccd38a80b8,0.3076923076923077,3
e8e2f0ceaa,0.0615384615384615,0
14f6344b4d,0.0923076923076923,0
717b3c4687,0.2,2
8ef0980510,0.2615384615384615,3
f8d0140d7c,0.2615384615384615,3
0a731445a4,0.1538461538461538,2
6137fa5620,0.1692307692307692,2
a11cd335ff,0.3384615384615384,1
ba2f1ced9c,0.1692307692307692,2
22f355aeb4,0.0769230769230769,0
8d985fae15,0.1538461538461538,2
afc96f7eaa,0.4153846153846154,1
412c8c0b2d,0.1384615384615384,0
f0204a5fed,0.0769230769230769,0
4336560739,0.1384615384615384,0
1a1761e910,0.2,2
728552f1e2,0.1692307692307692,2
8b1a9a013b,0.2461538461538461,3
9aadcc2e76,0.3538461538461538,1
9bdb616748,0.3076923076923077,3
a9f54fe565,0.5076923076923077,4
ac5d148391,0.1076923076923077,0
d6cf0c552d,0.3538461538461538,1
ef90f2896f,0.1076923076923077,0
63cb294ad9,0.0153846153846153,0
6f17174721,0.1846153846153846,2
e2a78e91ab,0.2923076923076923,3
f44a00e6b7,0.1076923076923077,0
5ff91ba1e7,0.1384615384615384,0
92d8bc44b4,0.1538461538461538,2
c12dd2c84d,0.1846153846153846,2
d1be39876d,0.2461538461538461,3
f9149817de,0.2769230769230769,3
65b5f99b38,0.2461538461538461,3
6f36cc3a8c,0.0307692307692307,0
92676da2f6,0.1076923076923077,0
ae629c62a4,0.1692307692307692,2
